,name,price
0,TATASTEEL,142.55
1,M&M,"1,807.95"
2,HDFCLIFE,634.95
3,BHARTIARTL,"1,225.00"
4,NTPC,317.10
5,APOLLOHOSP,"5,997.75"
6,INDUSINDBK,"1,487.25"
7,WIPRO,518.00
8,COALINDIA,416.00
9,HCLTECH,"1,649.90"
10,RELIANCE,"2,840.00"
11,BRITANNIA,"4,980.00"
12,DRREDDY,"6,292.10"
13,LTIM,"5,200.00"
14,ONGC,258.95
15,TATACONSUM,"1,213.05"
16,CIPLA,"1,489.00"
17,SUNPHARMA,"1,548.25"
18,POWERGRID,265.95
19,JSWSTEEL,780.65
20,TATAMOTORS,945.85
21,DIVISLAB,"3,485.40"
22,LT,"3,537.15"
23,BPCL,586.45
24,NESTLEIND,"2,603.65"
25,BAJFINANCE,"6,514.35"
26,TECHM,"1,282.00"
27,EICHERMOT,"3,745.00"
28,ITC,419.00
29,UPL,475.00
30,BAJAJFINSV,"1,570.95"
31,KOTAKBANK,"1,737.40"
32,ASIANPAINT,"2,866.00"
33,ULTRACEMCO,"9,625.00"
34,BAJAJ-AUTO,"8,343.00"
35,TCS,"4,215.25"
36,HINDALCO,532.00
37,AXISBANK,"1,044.00"
38,INFY,"1,630.00"
39,HINDUNILVR,"2,320.80"
40,MARUTI,"11,436.65"
41,HDFCBANK,"1,447.00"
42,TITAN,"3,619.00"
43,SBILIFE,"1,493.00"
44,ICICIBANK,"1,075.05"
45,HEROMOTOCO,"4,560.50"
46,SBIN,727.10
47,GRASIM,"2,181.00"
48,ADANIPORTS,"1,250.00"
49,ADANIENT,"3,050.10"
50,Total,
